marca,modelo,tipo_vehiculo,año,precio,tipo_carroceria,combustible,transmision,cilindros,rendimiento_ciudad_kmL,capacidad_pasajeros,cajuela_litros,segmento,holograma,largo_m,ancho_m,altura_cm,costo_mantenimiento_anual,disponibilidad_refacciones,kilometraje_km,altura_libre_suelo_cm,tipo_aspiracion,estrellas_seguridad,conectividad,emisiones_CO2_gkm
Geely,Okavango,seminuevo,2023,405900,coupe,eléctrico,automática,0,6.1,5,546,sedán_eficiente,Exento,4.76,1.74,149,2808,media,59524,16,Eléctrico,5,Sí,0.0
Chevrolet,Beat,nuevo,2025,419100,minivan,gasolina,manual,4,16.5,7,645,familiar_7plazas,00,5.13,1.85,189,5448,alta,0,17,Turbo,4,Sí,181.2
Skoda,Octavia,seminuevo,2021,165200,hatchback,gasolina,automática,4,16.8,5,339,compacto_urbano,0,3.82,1.7,157,5437,alta,71104,17,Turbo,4,Sí,128.5
BAIC,X25,nuevo,2024,375700,pickup,gasolina,automática,6,9.1,5,1592,pickup,00,5.76,1.89,190,2963,media,0,20,Natural,3,Sí,201.6
Volvo,XC90,seminuevo,2020,310800,pickup,gasolina,automática,4,9.6,2,1869,pickup,0,5.35,1.9,182,9500,media,148550,24,Natural,4,No,209.2
Renault,Logan,nuevo,2024,314200,minivan,gasolina,automática,4,16.0,7,797,familiar_7plazas,00,4.45,1.81,184,4024,alta,0,18,Natural,5,Sí,170.1
BAIC,X25,seminuevo,2021,272100,sedan,gasolina,automática,4,18.0,5,437,sedán_familiar,0,4.36,1.86,155,4311,media,63492,13,Natural,5,No,132.5
Suzuki,S-Cross,seminuevo,2020,149700,suv,gasolina,automática,4,16.2,7,474,suv_compacto,0,4.32,1.82,175,5921,media,75860,18,Natural,4,Sí,209.8
BAIC,X35,seminuevo,2020,113300,suv,gasolina,automática,3,12.7,7,634,suv_mediano,0,4.26,1.9,175,3794,baja,169215,19,Natural,4,Sí,192.5
Fiat,Argo,nuevo,2024,673300,pickup,gasolina,automática,6,11.3,5,1534,pickup,00,5.76,1.92,191,6083,alta,0,23,Turbo,5,No,197.5
Citroën,C5 Aircross,nuevo,2025,415700,sedan,gasolina,automática,4,14.7,5,568,sedán_familiar,00,4.74,1.83,153,3546,alta,0,15,Turbo,4,Sí,140.7
Chrysler,300,nuevo,2024,272100,hatchback,gasolina,automática,6,17.4,5,367,compacto_urbano,00,3.63,1.6,151,4292,alta,0,17,Turbo,4,Sí,124.8
Chevrolet,Beat,seminuevo,2021,260800,suv,gasolina,automática,4,13.0,7,623,suv_mediano,0,5.0,1.88,172,4765,media,125208,22,Natural,3,No,171.2
GMC,Sierra,seminuevo,2022,304400,hatchback,gasolina,automática,4,14.0,5,333,compacto_urbano,0,4.06,1.62,164,3682,alta,88635,17,Natural,5,Sí,133.5
GMC,Acadia,nuevo,2024,473800,sedan,gasolina,automática,4,16.1,5,591,compacto_urbano,00,4.41,1.69,155,3142,alta,0,13,Turbo,5,Sí,143.5
Citroën,Berlingo,nuevo,2024,324200,sedan,gasolina,automática,6,15.7,5,494,sedán_familiar,00,4.56,1.83,151,5168,alta,0,16,Natural,5,Sí,129.2
Suzuki,Swift,seminuevo,2019,98000,hatchback,gasolina,manual,4,18.1,5,280,compacto_urbano,0,3.78,1.61,159,4169,alta,186570,14,Natural,3,No,128.8
Peugeot,5008,seminuevo,2020,161000,suv,híbrido,automática,6,18.5,7,553,suv_compacto,Exento,4.97,1.88,180,5480,alta,94880,19,Eléctrico,4,Sí,72.8
Citroën,C5 Aircross,seminuevo,2023,346100,coupe,gasolina,manual,3,13.8,5,501,deportivo,0,5.0,1.82,150,4677,alta,67676,15,Natural,5,Sí,145.2
Dodge,Durango,nuevo,2024,286000,coupe,gasolina,automática,4,16.7,5,446,deportivo,00,4.84,1.71,150,3508,alta,0,15,Natural,4,Sí,129.2
Audi,Q3,seminuevo,2022,540300,coupe,gasolina,automática,4,14.5,5,541,deportivo,0,4.49,1.81,151,7382,alta,61575,15,Natural,5,Sí,156.2
Chevrolet,Onix,seminuevo,2020,204300,sedan,híbrido,manual,4,23.2,5,596,sedán_eficiente,Exento,4.7,1.8,142,5234,alta,122455,16,Eléctrico,5,No,104.4
BMW,X5,seminuevo,2020,281200,sedan,gasolina,manual,4,15.9,5,452,sedán_familiar,0,4.72,1.74,153,10007,media,140325,15,Turbo,5,Sí,122.8
Audi,Q3,seminuevo,2023,525800,sedan,gasolina,manual,4,14.2,5,412,sedán_familiar,0,4.96,1.85,148,10943,media,51458,15,Natural,4,No,129.5
Geely,Okavango,seminuevo,2023,324200,suv,gasolina,automática,3,16.3,7,523,suv_compacto,0,4.39,1.83,161,3513,baja,60840,22,Natural,3,No,193.4
Ford,Edge,nuevo,2025,550000,suv,gasolina,automática,3,14.1,5,585,suv_compacto,00,4.7,1.79,176,6252,media,0,19,Turbo,4,Sí,170.7
Volvo,XC90,seminuevo,2022,520800,hatchback,gasolina,manual,4,15.5,5,260,compacto_urbano,0,3.63,1.58,155,9127,media,59640,15,Natural,5,Sí,125.3
BYD,Song Plus,nuevo,2024,457300,suv,eléctrico,manual,0,7.1,7,688,suv_mediano,Exento,4.47,1.89,171,3879,media,0,22,Turbo,5,Sí,0.0
JAC,S4,nuevo,2024,355400,suv,eléctrico,automática,0,6.5,5,668,suv_mediano,Exento,4.77,1.87,172,4182,baja,0,18,Eléctrico,4,Sí,0.0
Dodge,Journey,seminuevo,2022,214700,hatchback,gasolina,automática,4,16.0,5,370,compacto_urbano,0,4.21,1.72,146,5124,alta,65382,16,Turbo,4,No,157.4
Audi,A6,seminuevo,2023,660200,coupe,gasolina,manual,4,16.9,5,584,deportivo,0,4.78,1.84,146,8983,media,46154,16,Turbo,4,Sí,142.8
Seat,Tarraco,seminuevo,2022,267100,minivan,gasolina,manual,6,14.9,5,696,familiar_7plazas,0,4.91,1.85,177,3599,alta,73551,17,Turbo,3,Sí,183.6
Dodge,Charger,seminuevo,2021,193400,minivan,gasolina,automática,4,14.9,7,585,familiar_7plazas,0,4.4,1.94,172,3207,alta,129604,16,Natural,3,No,199.2
Volvo,C40 Recharge,seminuevo,2023,608700,sedan,híbrido,automática,3,25.7,5,440,sedán_familiar,Exento,4.76,1.86,149,9664,media,48824,15,Eléctrico,3,Sí,102.3
Chevrolet,Aveo,seminuevo,2022,200800,hatchback,gasolina,automática,4,14.4,5,324,compacto_urbano,0,4.21,1.55,163,4372,alta,72972,17,Natural,5,No,127.6
RAM,2500,nuevo,2025,401000,sedan,gasolina,automática,6,15.8,5,465,compacto_urbano,00,4.43,1.83,154,5325,alta,0,14,Turbo,5,No,123.9
GMC,Acadia,seminuevo,2020,231100,pickup,híbrido,automática,4,19.5,2,1744,pickup,Exento,5.26,1.88,183,6964,alta,148190,22,Turbo,5,No,87.2
Nissan,X-Trail,nuevo,2024,485000,suv,eléctrico,automática,0,5.2,5,638,suv_mediano,Exento,4.48,1.84,176,4480,media,0,22,Eléctrico,4,Sí,0.0
JAC,S3,seminuevo,2023,383300,suv,gasolina,manual,4,15.5,5,526,suv_compacto,0,4.81,1.86,162,3581,baja,53708,22,Natural,3,Sí,181.2
MG,MG6,seminuevo,2022,201400,coupe,gasolina,automática,6,14.5,5,549,deportivo,0,4.64,1.86,149,3428,media,95454,17,Turbo,3,No,138.7
BMW,Serie 1,seminuevo,2022,374500,suv,gasolina,automática,4,12.8,7,576,suv_premium,0,4.83,1.86,161,10824,media,48117,21,Natural,4,No,196.5
Citroën,Berlingo,seminuevo,2023,442700,pickup,gasolina,automática,4,11.4,2,1834,pickup,0,5.69,1.87,192,8166,alta,38344,20,Natural,4,No,206.9
GMC,Yukon,nuevo,2025,320400,suv,gasolina,manual,4,13.1,5,457,suv_compacto,00,4.23,1.87,179,4985,alta,0,18,Turbo,3,No,209.2
Toyota,RAV4,nuevo,2025,426700,sedan,gasolina,manual,4,16.2,5,593,sedán_económico,00,4.4,1.88,145,5365,alta,0,15,Turbo,4,Sí,123.9
BAIC,X25,seminuevo,2022,310700,suv,gasolina,automática,4,16.3,5,618,suv_mediano,0,4.7,1.79,171,4109,baja,76332,21,Natural,4,No,180.1
Peugeot,Rifter,seminuevo,2023,452700,suv,gasolina,automática,6,13.1,7,429,suv_compacto,0,4.71,1.92,177,4549,media,45914,19,Natural,5,Sí,177.0
Dodge,Journey,seminuevo,2020,123500,coupe,eléctrico,automática,0,5.1,5,496,sedán_eficiente,Exento,4.77,1.8,155,3770,alta,171265,15,Turbo,4,No,0.0
BMW,Serie 1,seminuevo,2021,353700,suv,eléctrico,automática,0,6.9,7,524,suv_premium,Exento,4.83,1.88,172,9261,media,97100,21,Turbo,4,No,0.0
Citroën,Berlingo,seminuevo,2023,202900,sedan,eléctrico,manual,0,6.9,5,481,sedán_eficiente,Exento,4.94,1.75,148,5304,alta,44500,13,Turbo,5,No,0.0
Mercedes-Benz,Clase C,seminuevo,2021,424300,suv,gasolina,automática,4,15.8,7,681,suv_premium,0,4.79,1.88,168,10958,alta,124300,19,Turbo,4,Sí,203.1
Ford,Bronco Sport,seminuevo,2023,203800,minivan,gasolina,manual,6,18.3,5,764,familiar_7plazas,0,5.06,1.99,186,3026,alta,57026,16,Natural,5,Sí,172.4
Nissan,Qashqai,seminuevo,2023,361200,minivan,gasolina,automática,4,16.7,7,718,familiar_7plazas,0,4.74,1.76,182,3048,alta,31096,17,Turbo,4,Sí,169.5
Geely,Azkarra,nuevo,2024,412700,pickup,gasolina,automática,4,12.2,2,1623,pickup,00,5.15,1.92,186,4128,media,0,22,Natural,4,Sí,197.9
Mitsubishi,Outlander,nuevo,2024,346200,sedan,híbrido,automática,3,21.2,5,496,sedán_eficiente,Exento,4.69,1.69,142,3338,alta,0,16,Turbo,5,Sí,86.9
BAIC,X25,seminuevo,2021,151300,suv,eléctrico,manual,0,6.2,5,438,suv_compacto,Exento,4.82,1.82,177,2867,media,62052,22,Eléctrico,5,No,0.0
Honda,HR-V,seminuevo,2020,237300,suv,gasolina,automática,6,16.1,7,596,suv_compacto,0,4.88,1.8,162,5416,alta,91000,19,Natural,4,No,173.9
Subaru,Outback,seminuevo,2019,94800,suv,gasolina,manual,4,13.9,7,621,suv_mediano,0,4.37,1.86,172,5209,alta,104448,20,Natural,4,No,172.5
MG,MG HS,seminuevo,2022,250200,suv,gasolina,automática,3,16.3,7,584,suv_compacto,0,4.89,1.79,162,3382,media,99753,22,Natural,3,Sí,206.2
Mazda,CX-5,seminuevo,2023,420000,sedan,gasolina,manual,4,17.8,5,403,sedán_familiar,0,4.59,1.84,153,3994,alta,67482,14,Turbo,4,Sí,137.7
Ford,Edge,seminuevo,2021,231400,suv,gasolina,automática,3,13.2,7,615,suv_mediano,0,4.47,1.89,171,5010,media,137828,21,Natural,4,No,203.1
Nissan,March,seminuevo,2022,406900,pickup,gasolina,automática,6,10.2,2,1653,pickup,0,5.26,1.97,181,7286,alta,62460,22,Natural,5,No,202.0
Suzuki,Vitara,seminuevo,2022,351900,suv,gasolina,automática,3,16.2,5,679,suv_mediano,0,4.36,1.89,160,4858,media,73638,21,Turbo,4,Sí,162.5
BMW,Serie 5,seminuevo,2021,403000,hatchback,eléctrico,automática,0,7.0,5,268,compacto_urbano,Exento,3.91,1.69,163,9188,alta,114824,14,Turbo,5,No,0.0
Mazda,Mazda3,nuevo,2025,484100,suv,híbrido,automática,4,23.2,5,688,suv_mediano,Exento,5.09,1.87,172,5763,alta,0,18,Turbo,4,Sí,110.0
Dodge,Journey,seminuevo,2022,190200,minivan,híbrido,manual,6,22.0,7,556,familiar_7plazas,Exento,4.73,1.83,194,3475,alta,58926,17,Turbo,4,Sí,103.4
BAIC,X35,seminuevo,2022,182100,minivan,gasolina,manual,6,17.0,7,567,familiar_7plazas,0,4.57,1.95,168,4239,media,55749,16,Turbo,4,Sí,208.4
Volvo,XC90,seminuevo,2022,492900,minivan,gasolina,automática,6,14.4,7,651,familiar_7plazas,0,4.33,1.91,171,9425,media,83223,16,Natural,4,Sí,206.3
Hyundai,Venue,seminuevo,2020,257700,suv,gasolina,automática,4,13.0,7,670,suv_mediano,0,5.07,1.82,172,5607,alta,132000,21,Turbo,4,No,202.4
BMW,Serie 2,nuevo,2024,778100,hatchback,gasolina,automática,4,15.0,5,296,compacto_urbano,00,3.86,1.58,157,9442,media,0,17,Natural,4,No,126.7
Peugeot,Rifter,seminuevo,2020,204200,minivan,gasolina,automática,4,15.1,7,708,familiar_7plazas,0,4.35,1.85,165,3559,alta,106965,18,Natural,5,No,184.3
Acura,RDX,seminuevo,2023,539200,hatchback,gasolina,manual,3,17.5,5,306,compacto_urbano,0,3.8,1.61,162,7688,media,67070,14,Turbo,3,Sí,128.5
Citroën,C3,nuevo,2025,437100,minivan,gasolina,automática,4,14.0,5,626,familiar_7plazas,00,5.09,1.77,173,3356,alta,0,15,Turbo,4,Sí,180.1
GMC,Terrain,nuevo,2024,412100,hatchback,gasolina,automática,3,16.4,5,386,compacto_urbano,00,3.8,1.67,155,4185,alta,0,16,Turbo,5,Sí,122.3
Ford,Expedition,seminuevo,2019,163700,suv,híbrido,automática,6,24.9,5,474,suv_compacto,Exento,4.84,1.9,172,4582,media,171438,21,Eléctrico,5,Sí,85.2
Subaru,Crosstrek,nuevo,2025,567800,suv,eléctrico,automática,0,6.1,7,567,suv_compacto,Exento,4.72,1.9,162,5467,alta,0,21,Eléctrico,4,Sí,0.0
Chery,Tiggo 4,seminuevo,2022,206600,suv,gasolina,manual,4,13.0,7,575,suv_compacto,0,5.0,1.89,161,3782,media,46599,19,Natural,4,Sí,209.3
GMC,Terrain,nuevo,2025,436600,hatchback,híbrido,automática,4,25.0,5,320,compacto_urbano,Exento,3.67,1.63,147,3677,alta,0,17,Turbo,5,Sí,80.6
GMC,Sierra,nuevo,2025,277676,sedan,gasolina,automática,4,13.9,5,551,sedán_familiar,00,4.46,1.82,142,4407,alta,0,14,Natural,3,Sí,151.4
Skoda,Fabia,nuevo,2025,332200,sedan,gasolina,automática,4,17.9,5,435,sedán_familiar,00,4.84,1.83,144,3280,alta,0,13,Turbo,5,Sí,138.2
Dodge,Journey,nuevo,2025,633100,suv,híbrido,automática,4,22.9,7,511,suv_compacto,Exento,4.28,1.79,163,5572,media,0,20,Eléctrico,4,Sí,86.9
Mazda,CX-3,seminuevo,2023,363600,suv,eléctrico,automática,0,7.1,7,505,suv_compacto,Exento,4.67,1.85,172,4223,alta,62432,18,Eléctrico,4,Sí,0.0
BAIC,X25,seminuevo,2022,193100,suv,gasolina,automática,4,14.2,5,641,suv_mediano,0,5.06,1.89,160,2528,media,66207,18,Natural,5,Sí,207.9
Geely,Okavango,seminuevo,2022,240500,pickup,gasolina,automática,6,10.9,2,1642,pickup,0,5.07,1.86,181,3598,media,83409,25,Turbo,5,Sí,219.8
BMW,X3,nuevo,2025,607100,suv,gasolina,automática,3,16.2,5,632,suv_premium,00,4.75,1.79,165,7051,alta,0,18,Turbo,4,Sí,187.8
BAIC,X55,nuevo,2025,421200,suv,gasolina,automática,4,15.5,7,460,suv_compacto,00,4.89,1.78,173,3572,media,0,22,Turbo,3,No,195.9
Chrysler,300,seminuevo,2019,135000,minivan,gasolina,automática,4,14.3,5,778,familiar_7plazas,0,4.82,1.93,172,3010,alta,98658,16,Natural,4,No,167.7
Skoda,Scala,seminuevo,2020,169900,sedan,gasolina,automática,4,15.1,5,506,compacto_urbano,0,4.52,1.85,151,3489,alta,157250,14,Natural,5,Sí,131.9
Subaru,Impreza,seminuevo,2023,500700,suv,gasolina,automática,3,14.7,5,588,suv_compacto,0,4.38,1.86,169,4993,media,54134,21,Natural,5,Sí,208.4
MG,MG5,seminuevo,2022,298800,sedan,gasolina,manual,4,16.7,5,577,sedán_familiar,0,4.91,1.87,142,4238,baja,75228,14,Turbo,4,No,143.2
Chery,Tiggo 2,seminuevo,2020,124400,suv,gasolina,automática,4,16.1,7,590,suv_compacto,0,4.61,1.88,178,3535,media,139610,22,Turbo,3,No,187.1
Ford,Escape,seminuevo,2021,196900,suv,gasolina,automática,6,15.8,7,562,suv_compacto,0,4.61,1.81,166,6394,alta,80368,19,Natural,4,No,197.4
Acura,ILX,seminuevo,2023,427000,suv,gasolina,manual,4,14.4,5,446,suv_compacto,0,4.34,1.88,179,7880,media,39720,19,Natural,4,Sí,162.9
BMW,X1,nuevo,2025,610900,hatchback,gasolina,automática,4,16.3,5,390,compacto_urbano,00,3.77,1.66,149,7048,media,0,15,Turbo,4,Sí,143.4
Mazda,CX-30,nuevo,2025,415200,sedan,gasolina,automática,4,18.0,5,513,sedán_familiar,00,4.87,1.7,155,3501,alta,0,16,Turbo,4,No,140.1
Subaru,Forester,seminuevo,2019,117800,pickup,híbrido,automática,6,19.4,2,1965,pickup,Exento,5.15,1.89,179,7006,alta,148020,23,Turbo,3,Sí,104.1
RAM,1200,seminuevo,2020,240000,pickup,gasolina,automática,6,12.1,2,1822,pickup,0,5.8,1.92,175,7470,alta,153590,23,Natural,5,No,186.3
Audi,Q8,seminuevo,2021,378600,hatchback,gasolina,automática,4,14.6,5,321,compacto_urbano,0,3.64,1.78,161,10140,alta,90508,14,Natural,5,Sí,158.4
RAM,1500,nuevo,2025,638700,suv,gasolina,automática,4,16.2,5,490,suv_compacto,00,4.41,1.82,171,4115,media,0,22,Turbo,5,Sí,164.0
Chery,Tiggo 8,seminuevo,2021,196300,hatchback,gasolina,automática,3,13.8,5,306,compacto_urbano,0,3.61,1.66,155,4151,media,104660,16,Natural,3,Sí,127.4
MG,MG5,nuevo,2025,453400,coupe,eléctrico,automática,0,5.9,5,569,sedán_eficiente,Exento,4.58,1.7,146,2779,media,0,17,Turbo,4,Sí,0.0
Mitsubishi,L200,nuevo,2024,446300,hatchback,gasolina,automática,6,16.9,5,282,compacto_urbano,00,3.72,1.55,163,5324,alta,0,15,Turbo,4,Sí,143.8
Hyundai,Palisade,seminuevo,2020,195200,suv,eléctrico,automática,0,5.6,7,485,suv_compacto,Exento,4.77,1.91,180,5829,alta,118450,19,Eléctrico,4,No,0.0
Hyundai,Grand i10,seminuevo,2019,192200,pickup,gasolina,automática,6,10.5,2,1952,pickup,0,5.33,1.96,186,7537,alta,109938,24,Turbo,5,Sí,207.0
BYD,Song Plus,seminuevo,2020,137100,sedan,gasolina,automática,4,14.8,5,426,sedán_económico,0,4.54,1.86,144,3620,media,130365,16,Turbo,3,No,129.4
BYD,Dolphin,seminuevo,2022,265900,hatchback,gasolina,automática,4,14.5,5,298,compacto_urbano,0,3.89,1.68,162,3852,media,74235,14,Natural,4,No,124.8
MG,MG5,seminuevo,2022,242000,sedan,gasolina,automática,4,17.6,5,560,compacto_urbano,0,4.64,1.7,145,3807,media,53052,13,Natural,4,No,155.6
Chery,Tiggo 4,seminuevo,2020,218000,coupe,gasolina,automática,4,17.9,5,494,deportivo,0,4.43,1.69,149,3039,media,119000,14,Natural,5,No,129.8
Hyundai,Accent,nuevo,2024,574500,suv,gasolina,automática,4,13.4,5,598,suv_compacto,00,4.94,1.84,177,6345,alta,0,20,Turbo,4,Sí,189.7
Geely,Azkarra,seminuevo,2023,226400,hatchback,gasolina,manual,4,18.2,5,292,compacto_urbano,0,4.28,1.74,149,3367,media,58532,15,Turbo,4,Sí,144.8
Honda,Civic,seminuevo,2022,338900,coupe,gasolina,manual,4,17.8,5,533,deportivo,0,4.62,1.85,154,4718,alta,56061,15,Natural,5,Sí,136.8
Hyundai,Starex,nuevo,2025,268600,sedan,gasolina,manual,4,17.9,5,467,sedán_familiar,00,4.76,1.79,149,3705,alta,0,16,Turbo,5,No,143.3
Chevrolet,Blazer,seminuevo,2022,369600,suv,gasolina,manual,4,16.1,5,572,suv_compacto,0,4.94,1.82,168,4402,alta,58209,21,Natural,4,No,186.1
Mazda,CX-3,seminuevo,2023,400200,suv,gasolina,manual,4,16.0,5,663,suv_mediano,0,4.91,1.79,176,4555,alta,41386,19,Natural,4,Sí,206.7
Chrysler,Pacifica,seminuevo,2022,259700,suv,gasolina,automática,4,14.5,5,415,suv_compacto,0,4.42,1.85,174,5943,media,78840,20,Turbo,5,Sí,170.2
Mercedes-Benz,Clase A,seminuevo,2022,529700,sedan,gasolina,manual,4,17.8,5,565,sedán_económico,0,4.77,1.73,148,7082,alta,45873,14,Turbo,4,Sí,148.6
Mitsubishi,Outlander,nuevo,2024,684100,suv,eléctrico,automática,0,6.1,7,578,suv_compacto,Exento,4.61,1.81,169,6132,media,0,18,Eléctrico,5,Sí,0.0
Mercedes-Benz,Clase E,nuevo,2024,922600,sedan,gasolina,automática,4,18.4,5,563,sedán_familiar,00,4.53,1.74,152,10900,alta,0,14,Turbo,5,Sí,129.5
Toyota,Corolla Hybrid,seminuevo,2022,213900,suv,híbrido,automática,6,18.2,7,551,suv_compacto,Exento,4.43,1.84,172,6388,alta,78732,22,Turbo,5,Sí,85.8
Geely,Okavango,nuevo,2025,376900,hatchback,híbrido,manual,4,20.4,5,370,compacto_urbano,Exento,3.69,1.61,162,4439,baja,0,14,Eléctrico,4,Sí,96.9
BMW,X3,nuevo,2025,871700,suv,gasolina,automática,4,13.7,5,640,suv_premium,00,4.25,1.87,178,7291,media,0,22,Turbo,5,No,175.0
BAIC,X35,seminuevo,2022,278000,sedan,gasolina,automática,4,15.2,5,545,sedán_familiar,0,4.92,1.88,144,4266,baja,62727,16,Natural,5,Sí,132.6
Audi,A3,seminuevo,2019,247400,minivan,gasolina,automática,4,16.4,5,675,familiar_7plazas,0,5.01,1.95,169,8776,alta,174420,18,Natural,4,Sí,197.6
Chevrolet,Colorado,seminuevo,2021,210800,suv,gasolina,automática,4,13.3,5,527,suv_compacto,0,4.4,1.9,169,4420,media,125972,20,Natural,3,Sí,163.6
BMW,X1,seminuevo,2023,564300,coupe,gasolina,manual,4,15.7,5,575,deportivo,0,5.0,1.75,149,10072,media,40804,14,Natural,4,Sí,138.3
Seat,Ibiza,nuevo,2024,539800,coupe,gasolina,automática,4,17.1,5,409,deportivo,00,4.56,1.81,154,3199,alta,0,14,Turbo,3,Sí,159.9
Toyota,Avanza,seminuevo,2020,147200,pickup,gasolina,automática,6,9.4,5,1742,pickup,0,5.56,1.88,195,7233,alta,143955,25,Turbo,4,No,219.8
Ford,Expedition,nuevo,2025,384400,sedan,gasolina,manual,3,14.9,5,600,sedán_económico,00,4.65,1.8,154,5142,alta,0,15,Turbo,4,Sí,122.9
BYD,Qin DM-i,seminuevo,2023,402100,minivan,gasolina,manual,4,14.7,5,721,familiar_7plazas,0,4.38,1.79,183,2805,media,63534,15,Natural,5,Sí,170.7
Chrysler,300,seminuevo,2021,151900,minivan,gasolina,automática,4,17.9,7,642,familiar_7plazas,0,5.02,1.84,188,3389,alta,66012,16,Turbo,5,Sí,173.3
Volvo,XC40,seminuevo,2023,530100,suv,eléctrico,automática,0,5.9,7,493,suv_premium,Exento,4.3,1.84,174,10423,media,61342,19,Eléctrico,4,Sí,0.0
BYD,Qin DM-i,seminuevo,2022,226500,minivan,gasolina,manual,4,16.6,7,706,familiar_7plazas,0,4.33,1.92,191,3489,media,56100,18,Natural,3,Sí,206.7
Audi,A3,nuevo,2025,815200,coupe,eléctrico,manual,0,6.8,5,457,sedán_eficiente,Exento,4.98,1.81,147,9142,alta,0,17,Eléctrico,4,Sí,0.0
Skoda,Scala,nuevo,2025,342800,coupe,gasolina,automática,3,16.7,5,440,deportivo,00,4.65,1.77,149,3306,alta,0,16,Turbo,4,Sí,155.2
Toyota,Prius,seminuevo,2021,154300,coupe,híbrido,automática,4,24.5,5,420,sedán_eficiente,Exento,4.62,1.84,149,5041,alta,118596,14,Turbo,5,No,105.2
Volkswagen,Vento,seminuevo,2022,538600,pickup,gasolina,automática,6,10.9,2,1905,pickup,0,5.48,1.93,184,8082,alta,100278,25,Turbo,4,Sí,194.8
Citroën,C3,nuevo,2025,320700,suv,gasolina,automática,4,15.6,7,586,suv_compacto,00,4.84,1.8,167,5398,media,0,22,Turbo,4,Sí,167.9
Chevrolet,Aveo,seminuevo,2023,276900,hatchback,eléctrico,automática,0,5.3,5,300,compacto_urbano,Exento,3.73,1.76,157,4872,alta,42488,14,Turbo,3,Sí,0.0
Dodge,Durango,nuevo,2024,499000,coupe,gasolina,manual,3,16.2,5,412,deportivo,00,4.69,1.77,151,5082,alta,0,15,Turbo,4,Sí,153.3
Skoda,Octavia,seminuevo,2023,472700,pickup,gasolina,automática,6,12.2,2,1640,pickup,0,5.32,1.89,184,6546,alta,39054,24,Turbo,5,Sí,208.1
Audi,Q3,seminuevo,2021,485400,suv,gasolina,automática,6,13.9,5,491,suv_premium,0,4.65,1.88,170,7472,media,133696,22,Turbo,5,No,190.6
Acura,MDX,nuevo,2025,942700,pickup,gasolina,automática,6,9.4,5,1574,pickup,00,5.04,1.86,183,10217,media,0,25,Natural,4,Sí,219.5
Mercedes-Benz,Clase C,nuevo,2025,887000,coupe,gasolina,automática,4,14.0,5,572,deportivo,00,4.82,1.85,153,9298,media,0,16,Turbo,5,Sí,146.2
Skoda,Kodiaq,seminuevo,2022,327800,suv,gasolina,automática,3,15.5,5,626,suv_mediano,0,4.95,1.91,180,6410,alta,64020,21,Natural,5,Sí,160.4
Peugeot,2008,nuevo,2025,384500,coupe,gasolina,automática,3,15.6,5,542,deportivo,00,4.48,1.71,155,3023,alta,0,17,Turbo,4,Sí,152.7
MG,MG ZS,nuevo,2024,402300,sedan,eléctrico,manual,0,7.0,5,540,sedán_eficiente,Exento,4.55,1.84,147,4459,media,0,13,Eléctrico,4,No,0.0
Mazda,CX-5,seminuevo,2021,166600,suv,híbrido,automática,4,20.9,5,671,suv_mediano,Exento,4.63,1.86,180,4469,media,118412,22,Eléctrico,3,No,82.0
Audi,Q8,nuevo,2025,808100,sedan,gasolina,automática,4,17.1,5,406,compacto_urbano,00,4.88,1.75,154,8825,media,0,15,Turbo,4,Sí,146.5
Geely,Coolray,seminuevo,2020,126100,hatchback,gasolina,manual,3,16.6,5,303,compacto_urbano,0,4.07,1.73,158,2921,baja,146305,15,Natural,4,No,157.6
Volvo,S60,seminuevo,2020,342700,sedan,gasolina,automática,4,16.3,5,547,sedán_económico,0,4.94,1.76,149,8656,media,126835,16,Turbo,3,No,125.4
Nissan,Sentra,nuevo,2025,299600,sedan,eléctrico,automática,0,5.9,5,528,sedán_económico,Exento,4.5,1.82,151,4153,alta,0,16,Turbo,5,Sí,0.0
JAC,S3,seminuevo,2023,369600,suv,gasolina,automática,4,13.7,5,552,suv_compacto,0,4.81,1.91,180,4460,media,66274,19,Natural,3,Sí,165.8
